variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions
full,1014,1,3,3,none,101.6,25.498,67.8576,0.3884,57.16,26.23,25.69,0.282,150.37,235.11,147,32,196,3,0
full,1015,1,3,3,none,117.38,25.428,78.4647,0.4823,55.14,26.213,25.72,0.327,173.36,231.75,149,40,156,6,0
full,1016,0,1,3,collision,37.0,7.873,24.9165,0.1645,65.29,26.293,25.72,0.104,176.89,219.67,52,10,46,2,1
full,1017,1,3,3,none,91.37,22.647,60.9312,0.4084,58.47,26.24,25.69,0.253,157.7,234.93,144,19,142,0,0
full,1018,1,3,3,none,98.47,23.357,66.1438,0.4328,57.48,26.233,25.68,0.275,148.37,243.53,141,29,150,2,0
full,1019,0,1,3,collision,39.81,9.631,26.6179,0.1574,64.97,26.29,25.77,0.111,93.88,206.81,51,13,39,3,1
full,1020,1,3,3,none,100.0,25.563,67.0761,0.4391,57.3,26.231,25.7,0.279,151.75,216.12,152,36,145,3,0
full,1021,1,3,3,none,110.68,25.169,73.8395,0.3992,56.02,26.221,25.69,0.307,156.69,206.89,152,35,136,4,0
full,1022,1,3,3,none,104.69,24.623,70.155,0.3995,56.72,26.226,25.72,0.292,133.69,200.5,150,27,146,4,0
full,1023,1,3,3,none,100.77,23.47,66.3005,0.3045,57.45,26.232,25.69,0.276,160.05,206.37,149,29,209,2,0
full,1024,1,3,3,none,104.52,25.534,70.0972,0.4336,56.73,26.227,25.68,0.292,149.49,209.65,146,33,149,3,0
full,1025,1,3,3,none,95.82,24.266,64.8052,0.4437,57.74,26.235,25.69,0.27,170.65,209.05,136,28,135,1,0
full,1026,1,3,3,none,104.62,24.25,68.644,0.3134,57.0,26.229,25.69,0.286,168.19,268.72,157,18,178,3,0
full,1027,1,3,3,none,105.33,25.251,70.5971,0.4618,56.64,26.226,25.7,0.294,156.24,250.91,148,33,152,6,0
full,1028,1,3,3,none,101.61,24.664,68.5083,0.438,57.03,26.233,25.69,0.285,146.44,215.77,143,36,142,3,0
full,1029,1,3,3,none,115.7,24.658,76.9862,0.4125,55.42,26.216,25.69,0.321,169.4,216.13,148,35,130,6,0
full,1030,1,3,3,none,100.45,24.517,66.6398,0.381,57.38,26.232,25.69,0.277,163.03,208.11,152,24,158,3,0
full,1031,1,3,3,none,101.81,24.966,68.0584,0.3907,57.12,26.234,25.69,0.283,144.71,216.16,152,24,130,4,0
full,1032,1,3,3,none,99.51,24.522,66.5264,0.4279,57.41,26.237,25.7,0.277,174.48,216.12,152,27,140,3,0
full,1033,1,3,3,none,95.58,23.297,63.194,0.35,58.04,26.237,25.69,0.263,168.34,216.12,146,17,162,2,0
full,1034,1,3,3,none,104.24,24.162,69.7929,0.4156,56.79,26.227,25.69,0.29,168.25,200.51,148,33,157,3,0
full,1035,1,3,3,none,102.77,24.805,68.6844,0.4541,57.0,26.229,25.71,0.286,148.14,203.15,149,32,132,3,0
full,1036,0,1,3,collision,32.49,7.869,22.0707,0.1524,65.83,26.298,25.8,0.092,102.18,205.82,51,15,36,1,1
full,1037,1,3,3,none,101.51,25.502,67.8371,0.3836,57.16,26.234,25.69,0.282,152.14,202.13,146,39,181,3,0
full,1038,1,3,3,none,104.81,24.782,69.8391,0.4251,56.78,26.231,25.69,0.291,151.11,200.52,153,35,200,3,0
full,1039,1,3,3,none,108.64,25.322,72.5912,0.4285,56.26,26.223,25.69,0.302,151.01,216.17,152,33,146,4,0
full,1040,1,3,3,none,103.5,24.562,69.4256,0.4174,56.86,26.227,25.69,0.289,164.29,231.76,150,37,174,2,0
full,1041,1,3,3,none,96.09,23.961,63.5316,0.2971,57.97,26.236,25.69,0.264,160.88,202.79,144,18,186,3,0
full,1042,1,3,3,none,115.13,26.55,76.5651,0.3966,55.5,26.217,25.69,0.319,155.82,316.08,149,32,222,6,0
full,1043,1,3,3,none,113.82,25.771,75.4608,0.369,55.71,26.218,25.69,0.314,180.55,299.79,149,28,189,5,0
full,1044,1,3,3,none,97.62,22.964,64.8695,0.3473,57.72,26.235,25.69,0.27,179.17,231.76,147,20,163,1,0
full,1045,1,3,3,none,100.8,24.523,67.2269,0.4233,57.28,26.231,25.68,0.28,174.28,231.54,150,22,144,4,0
full,1046,1,3,3,none,97.43,23.552,64.7117,0.372,57.75,26.235,25.72,0.269,181.1,218.93,145,16,112,1,0
full,1047,1,3,3,none,98.75,24.427,65.7476,0.4037,57.55,26.233,25.69,0.274,152.45,208.47,150,34,165,3,0
full,1048,1,3,3,none,100.07,24.295,66.8832,0.454,57.34,26.231,25.7,0.278,158.3,216.55,147,30,111,2,0
full,1049,1,3,3,none,105.76,25.982,70.8084,0.4595,56.59,26.225,25.69,0.295,168.04,215.09,148,37,156,4,0
full,1050,1,3,3,none,102.91,24.917,68.3967,0.3426,57.05,26.234,25.68,0.285,150.68,218.28,140,34,187,4,0
full,1051,1,3,3,none,107.77,26.192,72.7849,0.469,56.22,26.222,25.72,0.303,161.01,222.67,151,40,148,3,0
full,1052,1,3,3,none,104.0,24.296,69.6237,0.3714,56.82,26.227,25.7,0.29,182.05,248.48,145,30,137,4,0
full,1053,1,3,3,none,101.0,23.836,67.226,0.3993,57.28,26.231,25.69,0.28,150.56,211.85,149,25,157,2,0
full,1054,0,1,3,collision,34.52,8.246,23.3306,0.1622,65.59,26.295,25.78,0.097,110.64,223.67,53,12,36,2,1
full,1055,1,3,3,none,102.21,23.779,68.2117,0.4072,57.09,26.234,25.72,0.284,176.97,221.44,148,23,120,1,0
full,1056,1,3,3,none,103.83,25.549,68.5042,0.3346,57.03,26.229,25.69,0.285,146.36,218.39,151,20,185,3,0
full,1057,1,3,3,none,93.85,23.113,62.4996,0.3673,58.17,26.238,25.69,0.26,172.34,211.64,140,20,138,1,0
full,1058,1,3,3,none,106.08,26.326,70.9793,0.4231,56.56,26.225,25.69,0.295,149.4,231.76,139,36,134,5,0
full,1059,1,3,3,none,105.83,24.72,70.5514,0.4138,56.64,26.226,25.69,0.294,149.69,211.84,147,29,138,3,0
full,1060,0,1,3,collision,59.9,13.525,39.8288,0.2336,62.46,26.273,25.8,0.166,114.33,204.51,51,22,79,6,1
full,1061,1,3,3,none,107.62,25.029,71.3168,0.3609,56.5,26.225,25.69,0.297,122.94,209.78,146,27,172,6,0
full,1062,1,3,3,none,108.18,26.3,72.4115,0.4464,56.29,26.223,25.69,0.301,149.69,247.39,151,33,146,5,0
full,1063,1,3,3,none,104.34,25.248,69.4672,0.3527,56.85,26.227,25.69,0.289,164.36,264.0,150,21,164,4,0
full,1064,1,3,3,none,109.74,25.305,73.9076,0.4509,56.01,26.221,25.69,0.308,159.14,215.05,152,38,130,5,0
full,1065,1,3,3,none,73.3,22.387,48.4532,0.1859,60.82,26.259,25.7,0.202,140.42,231.99,162,16,198,0,0
full,1066,1,3,3,none,101.62,25.606,67.4237,0.3554,57.23,26.231,25.69,0.281,180.44,246.12,150,25,165,2,0
full,1067,1,3,3,none,110.36,25.427,73.5985,0.4424,56.06,26.221,25.69,0.306,160.01,225.74,149,30,163,5,0
full,1068,1,3,3,none,107.99,24.97,72.1801,0.4305,56.33,26.223,25.69,0.3,156.88,231.75,151,37,176,3,0
full,1069,1,3,3,none,105.35,25.835,70.5539,0.4405,56.64,26.226,25.69,0.294,157.02,233.01,153,38,159,4,0
full,1070,1,3,3,none,105.98,25.204,70.6752,0.3943,56.62,26.226,25.69,0.294,163.97,223.46,143,27,143,4,0
full,1071,1,3,3,none,106.43,25.557,71.6137,0.4756,56.44,26.224,25.71,0.298,150.23,213.9,148,39,155,4,0
full,1072,1,3,3,none,93.79,23.66,62.6591,0.4081,58.14,26.238,25.69,0.261,167.71,232.08,141,25,172,1,0
full,1073,1,3,3,none,108.39,25.594,72.6881,0.4024,56.24,26.222,25.68,0.303,176.42,228.21,151,38,137,4,0
full,1074,1,3,3,none,101.66,24.908,67.9687,0.3998,57.13,26.229,25.7,0.283,173.71,233.8,145,26,160,3,0
